fila_excel,nombre,alias,tipo,detalle_cliente,categoria,sitio_web,anios_participacion,logo_archivo,logo_nombre_original,logo_drive_url,logo_descarga_directa,observacion
97,FUNDACION JUVENTUD EMPRENDEDORA,,,Socia,Organizaciones participantes,https://juventudemprendedora.cl/,"2024, 2025",fundacion-juventud-emprendedora.png,FUNDACION JUVENTUD EMPRENDEDORA.png,https://drive.google.com/file/d/1DRzBRdd4NqL5An-o-aFqhQNQ5CpemAAy/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1DRzBRdd4NqL5An-o-aFqhQNQ5CpemAAy,
98,FUNDACIÓN KIRI,,,Socia,Organizaciones participantes,https://fundacionkiri.cl/,2024,fundacion-kiri.png,Fundación kiri.png,https://drive.google.com/file/d/1MW06PEV_62XF3RZC6g2PIc9Eiomb4Os2/view?usp=sharing,https://drive.google.com/uc?export=download&id=1MW06PEV_62XF3RZC6g2PIc9Eiomb4Os2,
99,FUNDACIÓN KOSMO INCLUSIÓN,,,Socia,Organizaciones participantes,http://kosmoinclusion.cl/,2025,fundacion-kosmo-inclusion.png,Kosmo Inclusión.png,https://drive.google.com/file/d/1Bqnq6Gf_7xmLIMZlB3HX0uKB4IJSTTNj/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1Bqnq6Gf_7xmLIMZlB3HX0uKB4IJSTTNj,
100,FUNDACIÓN LA LLAVE,,,Socia,Organizaciones participantes,www.fundacionlallave.cl,2025,fundacion-la-llave.png,Fundación la llave.png,https://drive.google.com/file/d/19pPEvrEdLMRx8O5--WFZXH2UO25Mv1cc/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=19pPEvrEdLMRx8O5--WFZXH2UO25Mv1cc,
101,FUNDACIÓN LA SEMILLA,,,Socia,Organizaciones participantes,www.fundacionlasemilla.cl,"2024, 2025, 2026",fundacion-la-semilla.png,Fundación la Semilla.png,https://drive.google.com/file/d/1YHqkXoNGSVKIoS9E9NmmMxZIacGJbHyr/view?usp=sharing,https://drive.google.com/uc?export=download&id=1YHqkXoNGSVKIoS9E9NmmMxZIacGJbHyr,
102,FUNDACIÓN LAS ROSAS,,,Socia,Organizaciones participantes,www.fundacionlasrosas.cl,"2024, 2025, 2026",fundacion-las-rosas.jpg,FUNDACIÓN LAS ROSAS.jpg,https://drive.google.com/file/d/1FnE4bZfwzFX6ffgrfv2nmC3izg33sg0d/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1FnE4bZfwzFX6ffgrfv2nmC3izg33sg0d,
103,FUNDACIÓN LECHE PARA HAITÍ,,,Socia,Organizaciones participantes,www.lecheparahaiti.cl,2025,fundacion-leche-para-haiti.png,FUNDACIÓN LECHE PARA HAITÍ.png,https://drive.google.com/file/d/1pg6WsMAwOdDCIRyYkT9x0sdudnp74Olj/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1pg6WsMAwOdDCIRyYkT9x0sdudnp74Olj,
104,FUNDACIÓN LUZ,,,Socia,Organizaciones participantes,www.fundacionluz.cl,2025,fundacion-luz.webp,Fundación Luz.webp,https://drive.google.com/file/d/1mnXiW2zC2lsP3NOvcGWK0tGtSKuvJOms/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1mnXiW2zC2lsP3NOvcGWK0tGtSKuvJOms,
105,FUNDACIÓN MADRE JOSEFA,,,Socia,Organizaciones participantes,www.fundacionmadrejosefa.cl,2025,fundacion-madre-josefa.jpg,Fundacion Madre Josefa.jpg,https://drive.google.com/file/d/1-NLcvNarUYLnZJYfCguANign2HSNyW_1/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1-NLcvNarUYLnZJYfCguANign2HSNyW_1,
106,FUNDACIÓN MANO AMIGA,,,Socia,Organizaciones participantes,www.manoamiga.cl,2024,fundacion-mano-amiga.png,Fundacion Mano Amiga.png,https://drive.google.com/file/d/1IEfVGllWa9EAlkY9pHpnKEGvdnktOtNh/view?usp=sharing,https://drive.google.com/uc?export=download&id=1IEfVGllWa9EAlkY9pHpnKEGvdnktOtNh,
